track Name,artists,track_id,popularity,duration_ms,explicit,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature
54-46 Was My Number,Toots & The Maytals,20IDLUh8lvoI6OfpMj7prJ,0,190693,False,reggae,0.682,0.367,7,-7.447,1,0.169,0.184,3.04e-05,0.0725,0.635,159.481,audio_features,20IDLUh8lvoI6OfpMj7prJ,spotify:track:20IDLUh8lvoI6OfpMj7prJ,https://api.spotify.com/v1/tracks/20IDLUh8lvoI6OfpMj7prJ,https://api.spotify.com/v1/audio-analysis/20IDLUh8lvoI6OfpMj7prJ,4
Stay with Me - Single Version,Lorraine Ellison,00cioPPTRj17FTWdfoMDKk,24,210080,False,N/A,0.305,0.34,0,-6.714,1,0.0297,0.639,2.77e-05,0.12,0.246,124.693,audio_features,00cioPPTRj17FTWdfoMDKk,spotify:track:00cioPPTRj17FTWdfoMDKk,https://api.spotify.com/v1/tracks/00cioPPTRj17FTWdfoMDKk,https://api.spotify.com/v1/audio-analysis/00cioPPTRj17FTWdfoMDKk,3
The Only One I Know,The Charlatans,17hdos7cv1vAvcfoTU4Pym,0,238120,False,britpop,0.543,0.572,5,-13.124,1,0.0317,0.0685,0.00119,0.0823,0.533,113.312,audio_features,17hdos7cv1vAvcfoTU4Pym,spotify:track:17hdos7cv1vAvcfoTU4Pym,https://api.spotify.com/v1/tracks/17hdos7cv1vAvcfoTU4Pym,https://api.spotify.com/v1/audio-analysis/17hdos7cv1vAvcfoTU4Pym,4
"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix","A Tribe Called Quest, Busta Rhymes, Dinco D, Charlie Brown",0301nLjG0ti26rx5ZmfqtP,56,250133,True,conscious hip hop,0.795,0.596,2,-14.003,1,0.342,0.112,0.000176,0.111,0.618,101.78,audio_features,0301nLjG0ti26rx5ZmfqtP,spotify:track:0301nLjG0ti26rx5ZmfqtP,https://api.spotify.com/v1/tracks/0301nLjG0ti26rx5ZmfqtP,https://api.spotify.com/v1/audio-analysis/0301nLjG0ti26rx5ZmfqtP,4
You Are The Sunshine Of My Life,Stevie Wonder,13mXFvyRyjfIjnag95Rnug,0,178267,False,motown,0.524,0.531,11,-11.926,1,0.0702,0.805,2.51e-05,0.203,0.683,132.175,audio_features,13mXFvyRyjfIjnag95Rnug,spotify:track:13mXFvyRyjfIjnag95Rnug,https://api.spotify.com/v1/tracks/13mXFvyRyjfIjnag95Rnug,https://api.spotify.com/v1/audio-analysis/13mXFvyRyjfIjnag95Rnug,4
Autumn Sweater,Yo La Tengo,2auQoBr1PN5tykEApSeL6i,0,318373,False,alternative rock,0.628,0.449,7,-12.446,1,0.0426,0.15,0.738,0.141,0.874,102.081,audio_features,2auQoBr1PN5tykEApSeL6i,spotify:track:2auQoBr1PN5tykEApSeL6i,https://api.spotify.com/v1/tracks/2auQoBr1PN5tykEApSeL6i,https://api.spotify.com/v1/audio-analysis/2auQoBr1PN5tykEApSeL6i,4
She Bangs the Drums - Remastered 2009,The Stone Roses,3clIHVzJ9J2rvvrFUKLICo,60,232333,False,britpop,0.339,0.976,9,-4.782,1,0.0909,0.00649,0.00672,0.123,0.672,144.723,audio_features,3clIHVzJ9J2rvvrFUKLICo,spotify:track:3clIHVzJ9J2rvvrFUKLICo,https://api.spotify.com/v1/tracks/3clIHVzJ9J2rvvrFUKLICo,https://api.spotify.com/v1/audio-analysis/3clIHVzJ9J2rvvrFUKLICo,4
Celebrity Skin,Hole,2VTQAjZr7FPoEJD2sNoH3o,0,162493,False,alternative rock,0.443,0.896,9,-6.163,1,0.0457,1.35e-05,0.000101,0.369,0.733,134.145,audio_features,2VTQAjZr7FPoEJD2sNoH3o,spotify:track:2VTQAjZr7FPoEJD2sNoH3o,https://api.spotify.com/v1/tracks/2VTQAjZr7FPoEJD2sNoH3o,https://api.spotify.com/v1/audio-analysis/2VTQAjZr7FPoEJD2sNoH3o,4
Spirit in the Sky,Norman Greenbaum,0Y2SrByf4G3kbq2nBEHQRn,1,239600,False,classic rock,0.601,0.643,2,-5.828,1,0.0314,0.112,0.00209,0.088,0.552,128.262,audio_features,0Y2SrByf4G3kbq2nBEHQRn,spotify:track:0Y2SrByf4G3kbq2nBEHQRn,https://api.spotify.com/v1/tracks/0Y2SrByf4G3kbq2nBEHQRn,https://api.spotify.com/v1/audio-analysis/0Y2SrByf4G3kbq2nBEHQRn,4
What Becomes Of The Brokenhearted,Jimmy Ruffin,5h0QcOm0Mo1KTStPeNDOdG,0,173067,False,classic soul,0.709,0.458,7,-8.472,0,0.0284,0.212,0,0.29,0.426,98.824,audio_features,5h0QcOm0Mo1KTStPeNDOdG,spotify:track:5h0QcOm0Mo1KTStPeNDOdG,https://api.spotify.com/v1/tracks/5h0QcOm0Mo1KTStPeNDOdG,https://api.spotify.com/v1/audio-analysis/5h0QcOm0Mo1KTStPeNDOdG,4
"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",Cheap Trick,2gtyxGltXhzFQ4UNMTmzpy,28,216413,False,album rock,0.321,0.869,9,-8.732,1,0.0352,0.00769,0.00491,0.376,0.496,206.568,audio_features,2gtyxGltXhzFQ4UNMTmzpy,spotify:track:2gtyxGltXhzFQ4UNMTmzpy,https://api.spotify.com/v1/tracks/2gtyxGltXhzFQ4UNMTmzpy,https://api.spotify.com/v1/audio-analysis/2gtyxGltXhzFQ4UNMTmzpy,4
Manic Depression,Jimi Hendrix,3f5JtAsGRIXN8pSAeTi6vA,47,222293,False,acid rock,0.357,0.969,1,-4.99,1,0.124,0.0134,0.0677,0.141,0.704,149.741,audio_features,3f5JtAsGRIXN8pSAeTi6vA,spotify:track:3f5JtAsGRIXN8pSAeTi6vA,https://api.spotify.com/v1/tracks/3f5JtAsGRIXN8pSAeTi6vA,https://api.spotify.com/v1/audio-analysis/3f5JtAsGRIXN8pSAeTi6vA,3
In Your Eyes,Peter Gabriel,1wyluqXP2ujdTpCfm1E617,56,327947,False,album rock,0.622,0.713,11,-7.253,0,0.0357,0.0702,3.04e-06,0.104,0.639,89.448,audio_features,1wyluqXP2ujdTpCfm1E617,spotify:track:1wyluqXP2ujdTpCfm1E617,https://api.spotify.com/v1/tracks/1wyluqXP2ujdTpCfm1E617,https://api.spotify.com/v1/audio-analysis/1wyluqXP2ujdTpCfm1E617,4
Come Out and Play,The Offspring,2FSDgZ3Ysl0a8x8luagG7G,0,197800,False,alternative metal,0.514,0.884,7,-3.765,1,0.151,0.0943,1.52e-06,0.0654,0.898,158.262,audio_features,2FSDgZ3Ysl0a8x8luagG7G,spotify:track:2FSDgZ3Ysl0a8x8luagG7G,https://api.spotify.com/v1/tracks/2FSDgZ3Ysl0a8x8luagG7G,https://api.spotify.com/v1/audio-analysis/2FSDgZ3Ysl0a8x8luagG7G,4
